Start,Finish,Active Calories (kcal),Distance (mi),Flights Climbed (count),Heart Rate (count/min),Steps (count)
01-Nov-2016 09:00,01-Nov-2016 10:00,0.0,0.0342286532055603,0.0,0.0,0.0
01-Nov-2016 10:00,01-Nov-2016 11:00,0.0,0.866486172214036,1.0,0.0,0.0
01-Nov-2016 11:00,01-Nov-2016 12:00,0.0,0.113847629841727,2.0,0.0,0.0
01-Nov-2016 12:00,01-Nov-2016 13:00,0.0,0.0,0.0,0.0,0.0
01-Nov-2016 13:00,01-Nov-2016 14:00,0.0,0.314817714547017,0.0,0.0,0.0
01-Nov-2016 14:00,01-Nov-2016 15:00,0.0,0.0,0.0,0.0,0.0
01-Nov-2016 15:00,01-Nov-2016 16:00,0.0,0.28552006283305,1.0,0.0,0.0
01-Nov-2016 16:00,01-Nov-2016 17:00,0.0,0.0,0.0,0.0,0.0
01-Nov-2016 17:00,01-Nov-2016 18:00,0.0,0.290211520723674,0.0,0.0,0.0
01-Nov-2016 18:00,01-Nov-2016 19:00,0.0,0.616008653459104,0.0,0.0,0.0
01-Nov-2016 19:00,01-Nov-2016 20:00,0.0,0.0,0.0,0.0,0.0
01-Nov-2016 20:00,01-Nov-2016 21:00,0.0,0.0287197765052126,0.0,0.0,0.0
01-Nov-2016 21:00,01-Nov-2016 22:00,0.0,0.0,0.0,0.0,0.0
01-Nov-2016 22:00,01-Nov-2016 23:00,0.0,0.00822695458522104,1.0,0.0,0.0
01-Nov-2016 23:00,02-Nov-2016 00:00,0.0,0.0,0.0,0.0,0.0
02-Nov-2016 00:00,02-Nov-2016 01:00,0.0,0.0,0.0,0.0,0.0
02-Nov-2016 01:00,02-Nov-2016 02:00,0.0,0.0,0.0,0.0,0.0
02-Nov-2016 02:00,02-Nov-2016 03:00,0.0,0.0,0.0,0.0,0.0
02-Nov-2016 03:00,02-Nov-2016 04:00,0.0,0.0,0.0,0.0,0.0
02-Nov-2016 04:00,02-Nov-2016 05:00,0.0,0.0,0.0,0.0,0.0
02-Nov-2016 05:00,02-Nov-2016 06:00,0.0,0.0,0.0,0.0,0.0
02-Nov-2016 06:00,02-Nov-2016 07:00,0.0,0.0,0.0,0.0,0.0
02-Nov-2016 07:00,02-Nov-2016 08:00,0.0,0.0,0.0,0.0,0.0
02-Nov-2016 08:00,02-Nov-2016 09:00,0.0,0.0,0.0,0.0,0.0
02-Nov-2016 09:00,02-Nov-2016 10:00,0.0,0.0457888431559683,0.0,0.0,0.0
02-Nov-2016 10:00,02-Nov-2016 11:00,0.0,1.10717252413289,3.0,0.0,0.0
02-Nov-2016 11:00,02-Nov-2016 12:00,0.0,0.0637766327906635,0.0,0.0,0.0
02-Nov-2016 12:00,02-Nov-2016 13:00,0.0,0.0,0.0,0.0,0.0
02-Nov-2016 13:00,02-Nov-2016 14:00,0.0,0.0987375932436693,0.0,0.0,0.0
02-Nov-2016 14:00,02-Nov-2016 15:00,0.0,2.35031618270475,1.0,0.0,0.0
02-Nov-2016 15:00,02-Nov-2016 16:00,0.0,0.0,0.0,0.0,0.0
02-Nov-2016 16:00,02-Nov-2016 17:00,0.0,0.0,0.0,0.0,0.0
02-Nov-2016 17:00,02-Nov-2016 18:00,0.0,0.0,0.0,0.0,0.0
02-Nov-2016 18:00,02-Nov-2016 19:00,0.0,0.0681038038653449,0.0,0.0,0.0
02-Nov-2016 19:00,02-Nov-2016 20:00,0.0,0.834520715102223,0.0,0.0,0.0
02-Nov-2016 20:00,02-Nov-2016 21:00,0.0,0.131828028157291,0.0,0.0,0.0
02-Nov-2016 21:00,02-Nov-2016 22:00,0.0,0.0423340193271325,1.0,0.0,0.0
02-Nov-2016 22:00,02-Nov-2016 23:00,0.0,0.0,0.0,0.0,0.0
02-Nov-2016 23:00,03-Nov-2016 00:00,0.0,0.0,0.0,0.0,0.0
03-Nov-2016 00:00,03-Nov-2016 01:00,0.0,0.0,0.0,0.0,0.0
03-Nov-2016 01:00,03-Nov-2016 02:00,0.0,0.0,0.0,0.0,0.0
03-Nov-2016 02:00,03-Nov-2016 03:00,0.0,0.0,0.0,0.0,0.0
03-Nov-2016 03:00,03-Nov-2016 04:00,0.0,0.0,0.0,0.0,0.0
03-Nov-2016 04:00,03-Nov-2016 05:00,0.0,0.0,0.0,0.0,0.0
03-Nov-2016 05:00,03-Nov-2016 06:00,0.0,0.0,0.0,0.0,0.0
03-Nov-2016 06:00,03-Nov-2016 07:00,0.0,0.0,0.0,0.0,0.0
03-Nov-2016 07:00,03-Nov-2016 08:00,0.0,0.0,0.0,0.0,0.0
03-Nov-2016 08:00,03-Nov-2016 09:00,0.0,0.0495440465205825,1.0,0.0,0.0
03-Nov-2016 09:00,03-Nov-2016 10:00,0.0,0.882301475630028,1.0,0.0,0.0
03-Nov-2016 10:00,03-Nov-2016 11:00,0.0,0.236003199514895,3.0,0.0,0.0
03-Nov-2016 11:00,03-Nov-2016 12:00,0.0,0.0294900697923353,0.0,0.0,0.0
03-Nov-2016 12:00,03-Nov-2016 13:00,0.0,0.0,0.0,0.0,0.0
03-Nov-2016 13:00,03-Nov-2016 14:00,0.0,0.247111171029232,0.0,0.0,0.0
03-Nov-2016 14:00,03-Nov-2016 15:00,0.0,0.0640839494670646,0.0,0.0,0.0
03-Nov-2016 15:00,03-Nov-2016 16:00,0.0,0.346911536626123,1.0,0.0,0.0
03-Nov-2016 16:00,03-Nov-2016 17:00,0.0,0.0,0.0,0.0,0.0
03-Nov-2016 17:00,03-Nov-2016 18:00,0.0,1.00124222338346,0.0,0.0,0.0
03-Nov-2016 18:00,03-Nov-2016 19:00,0.0,0.237653873411212,0.0,0.0,0.0
03-Nov-2016 19:00,03-Nov-2016 20:00,0.0,0.0,0.0,0.0,0.0
03-Nov-2016 20:00,03-Nov-2016 21:00,0.0,0.0193494989262702,1.0,0.0,0.0
03-Nov-2016 21:00,03-Nov-2016 22:00,0.0,0.037512178875365,1.0,0.0,0.0
03-Nov-2016 22:00,03-Nov-2016 23:00,0.0,0.0,0.0,0.0,0.0
